 sexo  est_civ  esta1  promc h_estud  notpar;
  1  0 12 13 16 12
  0  0 10 12 16  7
  1  0 17 19 25 19
  0  1 17 19 15 11
  0  1 17 19 12 11
  0  0 13 10 15  9
  0  0 13 14 13  8
  0  0 13 17 19 11
  1  0 10 15 20 10
  0  0 17 16 16 14
  0  0 13 18 27 16
  1  0 11 12  5  5
  1  0 15 10 11 11
  1  0 17 17 16 14
  0  0 11 18 11  4
  1  1 15 14 16 15
  1  0 12 16  4  6
  0  1 13  9 14  8
  0  0 16 14 19 14
  0  0 13 15 12  8
  1  0 10 10 15  9
  0  0 13 18 13  9
  1  0 14 16  8  7
  0  0 10 16 11  6
  1  1 10 18 19 11
  0  0 16 19 25 16
  0  0 12 16 24 13
  0  0 11 13  9  4
  0  0 11  9 19 12
  1  1 14 15  6 10
  1  0 12 10 12  8
  0  0 12 11 18 10
  1  0 16 18 18 13
  0  0 11 18 17 10
  1  0 14 10 19 13
  0  0 15 19 17 13
  0  1 11  9 12  6
  1  0 11 13 16 10
  1  1 12 10 12  9
  0  0 17 16 18 12
