                                         The SAS System        18:26 Saturday, March 20, 1999   5

                         OBS    SEX     REP    PER    I    TRAT    GAIN

                           1    male     1      1     1     A       23
                           2    male     1      1     2     B       34
                           3    male     1      1     3     C       87
                           4    male     1      1     4     D       94
                           5    male     1      1     5     E       47
                           6    male     3      2     1     A       25
                           7    male     3      2     2     B       36
                           8    male     3      2     3     C       87
                           9    male     3      2     4     D       99
                          10    male     3      2     5     E       40
