/* propa ppepsi pgate pcoca ppolar vpepsi*/
 4.8 181 489 305 575 1270
 5.2 191 426 286 384 1131
 4.9 168 448 298 510 1285
 5.7 149 323 306 502 1289
 5.0 174 543 330 502 1282
 5.5 152 474 310 505 1279
 3.6 182 431 282 601 1365
 6.0 184 459 303 422 1151
 5.2 185 419 312 544 1207
 6.8 158 403 359 367 1258
 5.4 159 465 326 486 1308
 4.2 163 534 338 584 1419
 4.0 184 327 284 512 1326
 3.6 170 511 317 455 1460
 3.3 184 436 386 509 1565
 5.2 160 515 329 543 1333
 4.6 166 368 326 483 1367
 3.2 159 439 309 532 1585
 5.6 178 412 316 493 1190
 4.9 190 438 277 543 1174
 5.5 171 432 336 519 1248
 7.3 191 431 344 537 1094
 3.3 151 425 348 479 1594
 5.8 185 501 316 510 1153
 4.7 193 478 324 520 1246
 5.7 174 489 316 469 1224
 4.6 164 430 363 507 1401
 4.9 177 461 299 537 1262
 5.8 175 437 300 497 1164
 4.9 180 429 355 463 1290
 3.2 131 391 307 479 1654
 5.5 180 492 375 467 1274
 3.8 155 363 337 547 1513
 4.5 183 438 323 435 1302
 3.9 173 439 301 476 1406
 4.8 161 469 337 468 1383
 6.0 192 458 306 501 1082
 5.4 170 477 302 486 1244
 4.5 199 397 299 478 1198
 5.5 166 491 326 504 1263
 4.7 177 422 338 476 1304
 4.2 178 437 317 463 1334
 4.1 193 461 313 436 1285
 6.0 174 452 337 487 1233
 5.2 149 468 321 493 1355
 4.6 200 416 321 506 1206
 5.0 162 466 291 516 1283
 3.6 164 448 277 521 1416
